indicator_type	match	file	line	context
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72281	Failed to initialize internal cache functionality.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72327	Failed to allocate full name of cache pipe: %ls
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72340	Failed to post terminate message to child process cache thread.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72344	Failed to allocate name of parent cache pipe.
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72350	Failed to allocate memory for container sizes.
keyword	module	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72372	Failed to get path for executing module to read section info.
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72373	Unexpected container format.
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72374	Failed to find container info, too few elements: %u
keyword	Payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72375	Failed to get @Payload.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72378	Failed to allocate memory for payload structs.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72380	Failed to get payload node count.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72385	Failed to find payload for catalog file.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72387	Failed to find payload.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72389	Failed to allocate memory for package payloads.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72390	e:\delivery\dev\wix36_dev11\src\burn\engine\package.cpp
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72391	Failed to get package node count.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72392	Failed to select package nodes.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72399	Failed to allocate memory for patch sequence information to package lookup.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72401	Failed to parse payload references.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72402	Failed to parse MSU package.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72403	Failed to parse MSP package.
keyword	Cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72417	Failed to get @Cache.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72419	Failed to parse MSI package.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72420	Failed to parse EXE package.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72421	Failed to allocate memory for package structs.
keyword	Payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72427	Failed to hex decode the Payload/@Hash.
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72438	Failed to to find container: %ls
keyword	Container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72439	Failed to get @Container.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72443	e:\delivery\dev\wix36_dev11\src\burn\engine\payload.cpp
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72444	Failed to select payload nodes.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72449	Failed to find embedded payload: %ls
keyword	Payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72451	Payload was not found in container: %ls
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72466	Failed to build cache directory.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72485	Failed to copy uninstall arguments for related bundle package
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72486	Failed to copy repair arguments for related bundle package
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72487	Failed to copy install arguments for related bundle package
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72489	Failed to allocate space for burn payload inside of related bundle struct
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72490	Failed to allocate space for burn package payload inside of related bundle struct
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72496	Failed to read cache path from registry for bundle: %ls
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72502	Failed to initialize package from bundle id: %ls
