prefix	unique_tcid_count	first5	last5	top_sources
IDS	107	IDS/SEN/CBE/BI-01-C, IDS/SEN/CBE/BI-02-C, IDS/SEN/CBE/BI-03-C, IDS/SEN/CBE/BI-04-C, IDS/SEN/CBE/BI-05-C	IDS/SEN/RCPE/BI-02-C, IDS/SEN/RCPE/BI-03-C, IDS/SEN/RCPE/BI-04-C, IDS/SEN/RCPE/BI-05-C, IDS/SEN/SD/BV-01-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs_temp/ids.json | pts_offline_inventory/extracted/python_automation/platforms/Cyble/handlers/idsHandler.py
IPS	62	IPS/SR/CR/BV-01-C, IPS/SR/CR/BV-02-C, IPS/SR/CR/BV-03-C, IPS/SR/CR/BV-04-C, IPS/SR/CR/BV-05-C	IPS/SR/IP/BV-13-C, IPS/SR/IP/BV-15-C, IPS/SR/IP/BV-16-C, IPS/SR/IPADV/BV-01-C, IPS/SR/SGGIT/SER/BV-01-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs_temp/ips.json | pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs_temp/ips_fixed_value.json | pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs_temp/ips_nonconnectable.json
LLS	7	LLS/SR/CR/BV-01-C, LLS/SR/CW/BV-01-C, LLS/SR/SGGIT/CHA/BV-01-C, LLS/SR/SGGIT/SER/BV-01-C, LLS/SR/SP/BV-01-C	LLS/SR/SGGIT/CHA/BV-01-C, LLS/SR/SGGIT/SER/BV-01-C, LLS/SR/SP/BV-01-C, LLS/SR/SP/BV-02-C, LLS/SR/SP/BV-03-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/lls.json
LNS	42	LNS/SEN/CN/BV-01-C, LNS/SEN/CN/BV-02-C, LNS/SEN/CN/BV-03-C, LNS/SEN/CN/BV-04-C, LNS/SEN/CN/BV-05-C	LNS/SEN/SPN/BV-06-C, LNS/SEN/SPN/BV-07-C, LNS/SEN/SPN/BV-08-C, LNS/SEN/SPS/BV-01-C, LNS/SEN/SPS/BV-02-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/lns_NoOptionalFields.json | pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/lns_WithOptionalFields.json
MESH	304	MESH/CFGCL/CFG/AKL/BV-01-C, MESH/CFGCL/CFG/AKL/BV-02-C, MESH/CFGCL/CFG/AKL/BV-03-C, MESH/CFGCL/CFG/AKL/BV-04-C, MESH/CFGCL/CFG/CFGF/BV-01-C	MESH/SR/PROX/BV-10-C, MESH/SR/PROX/BV-11-C, MESH/SR/PROX/BV-12-C, MESH/SR/PROX/BV-13-C, MESH/SR/PROX/BV-14-C	pts_offline_inventory/extracted/python_automation/platforms/Wiced/Configs/mesh-cfgcl-cfg.json | pts_offline_inventory/extracted/python_automation/platforms/Wiced/Configs/mesh-cfgcl-kr-x2.json | pts_offline_inventory/extracted/python_automation/platforms/Wiced/Configs/mesh-cfgcl-kr.json
MMDL	379	MMDL/CL/GBAT/BV-01-C, MMDL/CL/GDTT/BV-01-C, MMDL/CL/GDTT/BV-02-C, MMDL/CL/GDTT/BV-03-C, MMDL/CL/GLOC/BV-01-C	MMDL/SR/TIMS/BI-01-C, MMDL/SR/TIMS/BV-01-C, MMDL/SR/TIMS/BV-02-C, MMDL/SR/TIMS/BV-03-C, MMDL/SR/TIMS/BV-04-C	pts_offline_inventory/extracted/python_automation/platforms/Wiced/Configs/mmdl-cl-gbat.json | pts_offline_inventory/extracted/python_automation/platforms/Wiced/Configs/mmdl-cl-gdtt.json | pts_offline_inventory/extracted/python_automation/platforms/Wiced/Configs/mmdl-cl-gloc.json
NDCS	3	NDCS/SR/CR/BV-01-C, NDCS/SR/SGGIT/CHA/BV-01-C, NDCS/SR/SGGIT/SER/BV-01-C	NDCS/SR/CR/BV-01-C, NDCS/SR/SGGIT/CHA/BV-01-C, NDCS/SR/SGGIT/SER/BV-01-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/ndcs.json
PASP	12	PASP/CL/CGGIT/CHA/BV-01-C, PASP/CL/CGGIT/CHA/BV-02-C, PASP/CL/CGGIT/CHA/BV-03-C, PASP/CL/CGGIT/SER/BV-01-C, PASP/CL/PPCB/BV-01-C	PASP/CL/PPNF/BV-01-C, PASP/CL/PPNF/BV-02-C, PASP/CL/PPWF/BV-01-C, PASP/CL/PPWF/BV-02-C, PASP/CL/PPWF/BV-03-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/pasp.json
PASS	19	PASS/SR/CCC/BV-01-C, PASS/SR/CCC/BV-02-C, PASS/SR/CCC/BV-03-C, PASS/SR/CCC/BV-04-C, PASS/SR/CR/BV-01-C	PASS/SR/SP/BV-04-C, PASS/SR/SP/BV-05-C, PASS/SR/SP/BV-06-C, PASS/SR/SP/BV-07-C, PASS/SR/SP/BV-08-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/pass.json | pts_offline_inventory/extracted/python_automation/platforms/Cyble/handlers/passHandler.py
PLXS	36	PLXS/SEN/CI/BV-01-C, PLXS/SEN/CI/BV-02-C, PLXS/SEN/CI/BV-03-C, PLXS/SEN/CI/BV-04-C, PLXS/SEN/CI/BV-05-C	PLXS/SEN/RAE/BI-06-C, PLXS/SEN/RAN/BV-01-C, PLXS/SEN/RAR/BV-01-C, PLXS/SEN/RAR/BV-02-C, PLXS/SEN/SD/BV-01-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs_temp/plxs.json
PVNR	11	PVNR/PROV/BI-14-C, PVNR/PROV/BV-01-C, PVNR/PROV/BV-02-C, PVNR/PROV/BV-03-C, PVNR/PROV/BV-04-C	PVNR/PROV/BV-06-C, PVNR/PROV/BV-07-C, PVNR/PROV/BV-08-C, PVNR/PROV/BV-09-C, PVNR/PROV/BV-10-C	pts_offline_inventory/extracted/python_automation/platforms/Wiced/handlers/meshHandler.py
RSCS	19	RSCS/SEN/CN/BV-01-C, RSCS/SEN/CN/BV-02-C, RSCS/SEN/CN/BV-03-C, RSCS/SEN/CN/BV-04-C, RSCS/SEN/CON/BV-01-C	RSCS/SEN/SPE/BI-06-C, RSCS/SEN/SPL/BV-01-C, RSCS/SEN/SPS/BV-01-C, RSCS/SEN/SPS/BV-02-C, RSCS/SEN/SPU/BV-01-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/rscs.json
RTUS	6	RTUS/SR/CR/BV-01-C, RTUS/SR/SGGIT/CHA/BV-01-C, RTUS/SR/SGGIT/CHA/BV-02-C, RTUS/SR/SGGIT/SER/BV-01-C, RTUS/SR/SP/BI-01-C	RTUS/SR/SGGIT/CHA/BV-01-C, RTUS/SR/SGGIT/CHA/BV-02-C, RTUS/SR/SGGIT/SER/BV-01-C, RTUS/SR/SP/BI-01-C, RTUS/SR/SP/BV-01-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/rtus.json
SCPS	6	SCPS/SR/CN/BV-01-C, SCPS/SR/CON/BV-01-C, SCPS/SR/CW/BV-01-C, SCPS/SR/SGGIT/CHA/BV-01-C, SCPS/SR/SGGIT/CHA/BV-02-C	SCPS/SR/CON/BV-01-C, SCPS/SR/CW/BV-01-C, SCPS/SR/SGGIT/CHA/BV-01-C, SCPS/SR/SGGIT/CHA/BV-02-C, SCPS/SR/SGGIT/SER/BV-01-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/scps.json
SM	80	SM/CEN/EKS/BI-01-C, SM/CEN/EKS/BV-01-C, SM/CEN/JW/BI-01-C, SM/CEN/JW/BI-04-C, SM/CEN/JW/BV-01-C	SM/PER/SCPK/BV-02-C, SM/PER/SCPK/BV-03-C, SM/PER/SIE/BV-01-C, SM/PER/SIP/BV-01-C, SM/SLA/KDU/BI-01-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/sm.json | pts_offline_inventory/extracted/python_automation/platforms/Cyble/handlers/le_gapHandler.py | pts_offline_inventory/extracted/python_automation/platforms/Cyble/handlers/smHandler.py
TIP	13	TIP/CL/CGGIT/CHA/BV-01-C, TIP/CL/CGGIT/CHA/BV-02-C, TIP/CL/CGGIT/CHA/BV-03-C, TIP/CL/CGGIT/CHA/BV-04-C, TIP/CL/CGGIT/CHA/BV-05-C	TIP/CL/CGGIT/SER/BV-03-C, TIP/CL/TPCF/BV-01-C, TIP/CL/TPCN/BV-01-C, TIP/CL/TPNF/BV-01-C, TIP/CL/TPWF/BV-01-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/tip.json
TPS	2	TPS/SR/CR/BV-01-C, TPS/SR/SGGIT/SER/BV-01-C	TPS/SR/CR/BV-01-C, TPS/SR/SGGIT/SER/BV-01-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/tps.json
UDS	133	UDS/SR/CN/BV-01-C, UDS/SR/CON/BV-01-C, UDS/SR/CON/BV-02-C, UDS/SR/CR/BI-01-C, UDS/SR/CR/BI-02-C	UDS/SR/SPE/BI-05-C, UDS/SR/SPE/BI-06-C, UDS/SR/SPE/BI-07-C, UDS/SR/SPU/BV-01-C, UDS/SR/SPU/BV-04-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/uds.json
WSS	11	WSS/SEN/CI/BV-01-C, WSS/SEN/CI/BV-02-C, WSS/SEN/CI/BV-03-C, WSS/SEN/CI/BV-04-C, WSS/SEN/CI/BV-05-C	WSS/SEN/CON/BV-01-C, WSS/SEN/CR/BV-01-C, WSS/SEN/SGGIT/CHA/BV-01-C, WSS/SEN/SGGIT/CHA/BV-02-C, WSS/SEN/SGGIT/SER/BV-01-C	pts_offline_inventory/extracted/python_automation/platforms/Cyble/Configs/wss.json
